___November_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 153   1  125.00  -89.00       -0.1461
 154   1  127.00  -89.00       -0.1461
 155   1  129.00  -89.00       -0.1461
 156   1  131.00  -89.00       -0.1461
 157   1  133.00  -89.00       -0.1461
 158   1  135.00  -89.00       -0.1461
 159   1  137.00  -89.00       -0.1461
 160   1  139.00  -89.00       -0.1461
 161   1  141.00  -89.00       -0.1461
 162   1  143.00  -89.00       -0.1461
 163   1  145.00  -89.00       -0.1461
 164   1  147.00  -89.00       -0.1461
 165   1  149.00  -89.00       -0.1461
 166   1  151.00  -89.00       -0.1461
 167   1  153.00  -89.00       -0.1461
 168   1  155.00  -89.00       -0.1461
 169   1  157.00  -89.00       -0.1461
 170   1  159.00  -89.00       -0.1461
 171   1  161.00  -89.00       -0.1461
 172   1  163.00  -89.00       -0.1461
 173   1  165.00  -89.00       -0.1461
 174   1  167.00  -89.00       -0.1461
 175   1  169.00  -89.00       -0.1461
 176   1  171.00  -89.00       -0.1461
 177   1  173.00  -89.00       -0.1461
 178   1  175.00  -89.00       -0.1461
 179   1  177.00  -89.00       -0.1461
 180   1  179.00  -89.00       -0.1461
   1   2 -179.00  -87.00       -0.1461
   2   2 -177.00  -87.00       -0.1461
   3   2 -175.00  -87.00       -0.1461
   4   2 -173.00  -87.00       -0.1461
   5   2 -171.00  -87.00       -0.1461
   6   2 -169.00  -87.00       -0.1461
   7   2 -167.00  -87.00       -0.1461
   8   2 -165.00  -87.00       -0.1461
   9   2 -163.00  -87.00       -0.1461
  10   2 -161.00  -87.00       -0.1461
  11   2 -159.00  -87.00       -0.1461
  12   2 -157.00  -87.00       -0.1461
  13   2 -155.00  -87.00       -0.1461
  14   2 -153.00  -87.00       -0.1461
  15   2 -151.00  -87.00       -0.1461
  16   2 -149.00  -87.00       -0.1461
  17   2 -147.00  -87.00       -0.1461
  18   2 -145.00  -87.00       -0.1461
  19   2 -143.00  -87.00       -0.1461
  20   2 -141.00  -87.00       -0.1461
  21   2 -139.00  -87.00       -0.1461
  22   2 -137.00  -87.00       -0.1461
  23   2 -135.00  -87.00       -0.1461
  24   2 -133.00  -87.00       -0.1461
  25   2 -131.00  -87.00       -0.1461
  26   2 -129.00  -87.00       -0.1461
  27   2 -127.00  -87.00       -0.1461
  28   2 -125.00  -87.00       -0.1461
  29   2 -123.00  -87.00       -0.1461
  30   2 -121.00  -87.00       -0.1461
  31   2 -119.00  -87.00       -0.1461
  32   2 -117.00  -87.00       -0.1461
  33   2 -115.00  -87.00       -0.1461
  34   2 -113.00  -87.00       -0.1461
  35   2 -111.00  -87.00       -0.1461
  36   2 -109.00  -87.00       -0.1461
  37   2 -107.00  -87.00       -0.1461
  38   2 -105.00  -87.00       -0.1461
  39   2 -103.00  -87.00       -0.1461
  40   2 -101.00  -87.00       -0.1461
  41   2  -99.00  -87.00       -0.1461
  42   2  -97.00  -87.00       -0.1461
  43   2  -95.00  -87.00       -0.1461
  44   2  -93.00  -87.00       -0.1461
  45   2  -91.00  -87.00       -0.1461
  46   2  -89.00  -87.00       -0.1461
  47   2  -87.00  -87.00       -0.1461
  48   2  -85.00  -87.00       -0.1461
  49   2  -83.00  -87.00       -0.1461
  50   2  -81.00  -87.00       -0.1461
  51   2  -79.00  -87.00       -0.1461
  52   2  -77.00  -87.00       -0.1461
  53   2  -75.00  -87.00       -0.1461
  54   2  -73.00  -87.00       -0.1461
  55   2  -71.00  -87.00       -0.1461
  56   2  -69.00  -87.00       -0.1461
  57   2  -67.00  -87.00       -0.1461
  58   2  -65.00  -87.00       -0.1461
  59   2  -63.00  -87.00       -0.1461
  60   2  -61.00  -87.00       -0.1461
  61   2  -59.00  -87.00       -0.1461
  62   2  -57.00  -87.00       -0.1461
  63   2  -55.00  -87.00       -0.1461
  64   2  -53.00  -87.00       -0.1461
  65   2  -51.00  -87.00       -0.1461
  66   2  -49.00  -87.00       -0.1461
  67   2  -47.00  -87.00       -0.1461
  68   2  -45.00  -87.00       -0.1461
  69   2  -43.00  -87.00       -0.1461
  70   2  -41.00  -87.00       -0.1461
  71   2  -39.00  -87.00       -0.1461
  72   2  -37.00  -87.00       -0.1461
  73   2  -35.00  -87.00       -0.1461
  74   2  -33.00  -87.00       -0.1461
  75   2  -31.00  -87.00       -0.1461
  76   2  -29.00  -87.00       -0.1461
  77   2  -27.00  -87.00       -0.1461
  78   2  -25.00  -87.00       -0.1461
  79   2  -23.00  -87.00       -0.1461
  80   2  -21.00  -87.00       -0.1461
  81   2  -19.00  -87.00       -0.1461
  82   2  -17.00  -87.00       -0.1461
  83   2  -15.00  -87.00       -0.1461
  84   2  -13.00  -87.00       -0.1461
  85   2  -11.00  -87.00       -0.1461
  86   2   -9.00  -87.00       -0.1461
  87   2   -7.00  -87.00       -0.1461
  88   2   -5.00  -87.00       -0.1461
  89   2   -3.00  -87.00       -0.1461
  90   2   -1.00  -87.00       -0.1461
  91   2    1.00  -87.00       -0.1461
  92   2    3.00  -87.00       -0.1461
  93   2    5.00  -87.00       -0.1461
  94   2    7.00  -87.00       -0.1461
  95   2    9.00  -87.00       -0.1461
  96   2   11.00  -87.00       -0.1461
  97   2   13.00  -87.00       -0.1461
  98   2   15.00  -87.00       -0.1461
  99   2   17.00  -87.00       -0.1461
 100   2   19.00  -87.00       -0.1461
 101   2   21.00  -87.00       -0.1461
 102   2   23.00  -87.00       -0.1461
 103   2   25.00  -87.00       -0.1461
 104   2   27.00  -87.00       -0.1461
 105   2   29.00  -87.00       -0.1461
 106   2   31.00  -87.00       -0.1461
 107   2   33.00  -87.00       -0.1461
 108   2   35.00  -87.00       -0.1461
 109   2   37.00  -87.00       -0.1461
 110   2   39.00  -87.00       -0.1461
 111   2   41.00  -87.00       -0.1461
 112   2   43.00  -87.00       -0.1461
 113   2   45.00  -87.00       -0.1461
 114   2   47.00  -87.00       -0.1461
 115   2   49.00  -87.00       -0.1461
 116   2   51.00  -87.00       -0.1461
 117   2   53.00  -87.00       -0.1461
 118   2   55.00  -87.00       -0.1461
 119   2   57.00  -87.00       -0.1461
 120   2   59.00  -87.00       -0.1461
 121   2   61.00  -87.00       -0.1461
 122   2   63.00  -87.00       -0.1461
 123   2   65.00  -87.00       -0.1461
 124   2   67.00  -87.00       -0.1461
 125   2   69.00  -87.00       -0.1461
 126   2   71.00  -87.00       -0.1461
 127   2   73.00  -87.00       -0.1461
 128   2   75.00  -87.00       -0.1461
 129   2   77.00  -87.00       -0.1461
 130   2   79.00  -87.00       -0.1461
 131   2   81.00  -87.00       -0.1461
 132   2   83.00  -87.00       -0.1461
 133   2   85.00  -87.00       -0.1461
 134   2   87.00  -87.00       -0.1461
 135   2   89.00  -87.00       -0.1461
 136   2   91.00  -87.00       -0.1461
 137   2   93.00  -87.00       -0.1461
 138   2   95.00  -87.00       -0.1461
 139   2   97.00  -87.00       -0.1461
 140   2   99.00  -87.00       -0.1461
 141   2  101.00  -87.00       -0.1461
 142   2  103.00  -87.00       -0.1461
 143   2  105.00  -87.00       -0.1461
 144   2  107.00  -87.00       -0.1461
 145   2  109.00  -87.00       -0.1461
 146   2  111.00  -87.00       -0.1461
 147   2  113.00  -87.00       -0.1461
 148   2  115.00  -87.00       -0.1461
 149   2  117.00  -87.00       -0.1461
 150   2  119.00  -87.00       -0.1461
 151   2  121.00  -87.00       -0.1461
 152   2  123.00  -87.00       -0.1461
 153   2  125.00  -87.00       -0.1461
 154   2  127.00  -87.00       -0.1461
 155   2  129.00  -87.00       -0.1461
 156   2  131.00  -87.00       -0.1461
 157   2  133.00  -87.00       -0.1461
 158   2  135.00  -87.00       -0.1461
 159   2  137.00  -87.00       -0.1461
 160   2  139.00  -87.00       -0.1461
 161   2  141.00  -87.00       -0.1461
 162   2  143.00  -87.00       -0.1461
 163   2  145.00  -87.00       -0.1461
 164   2  147.00  -87.00       -0.1461
 165   2  149.00  -87.00       -0.1461
 166   2  151.00  -87.00       -0.1461
 167   2  153.00  -87.00       -0.1461
 168   2  155.00  -87.00       -0.1461
 169   2  157.00  -87.00       -0.1461
 170   2  159.00  -87.00       -0.1461
 171   2  161.00  -87.00       -0.1461
 172   2  163.00  -87.00       -0.1461
 173   2  165.00  -87.00       -0.1461
 174   2  167.00  -87.00       -0.1461
 175   2  169.00  -87.00       -0.1461
 176   2  171.00  -87.00       -0.1461
 177   2  173.00  -87.00       -0.1461
 178   2  175.00  -87.00       -0.1461
 179   2  177.00  -87.00       -0.1461
 180   2  179.00  -87.00       -0.1461
   1   3 -179.00  -85.00       -0.1461
   2   3 -177.00  -85.00       -0.1461
   3   3 -175.00  -85.00       -0.1461
   4   3 -173.00  -85.00       -0.1461
   5   3 -171.00  -85.00       -0.1461
   6   3 -169.00  -85.00       -0.1461
   7   3 -167.00  -85.00       -0.1461
   8   3 -165.00  -85.00       -0.1461
   9   3 -163.00  -85.00       -0.1461
  10   3 -161.00  -85.00       -0.1461
  11   3 -159.00  -85.00       -0.1461
  12   3 -157.00  -85.00       -0.1461
  13   3 -155.00  -85.00       -0.1461
  14   3 -153.00  -85.00       -0.1461
  15   3 -151.00  -85.00       -0.1461
  16   3 -149.00  -85.00       -0.1461
  17   3 -147.00  -85.00       -0.1461
  18   3 -145.00  -85.00       -0.1461
  19   3 -143.00  -85.00       -0.1461
  20   3 -141.00  -85.00       -0.1461
  21   3 -139.00  -85.00       -0.1461
  22   3 -137.00  -85.00       -0.1461
  23   3 -135.00  -85.00       -0.1461
  24   3 -133.00  -85.00       -0.1461
  25   3 -131.00  -85.00       -0.1461
  26   3 -129.00  -85.00       -0.1461
  27   3 -127.00  -85.00       -0.1461
  28   3 -125.00  -85.00       -0.1461
  29   3 -123.00  -85.00       -0.1461
  30   3 -121.00  -85.00       -0.1461
  31   3 -119.00  -85.00       -0.1461
  32   3 -117.00  -85.00       -0.1461
  33   3 -115.00  -85.00       -0.1461
  34   3 -113.00  -85.00       -0.1461
  35   3 -111.00  -85.00       -0.1461
  36   3 -109.00  -85.00       -0.1461
  37   3 -107.00  -85.00       -0.1461
  38   3 -105.00  -85.00       -0.1461
  39   3 -103.00  -85.00       -0.1461
  40   3 -101.00  -85.00       -0.1461
  41   3  -99.00  -85.00       -0.1461
  42   3  -97.00  -85.00       -0.1461
  43   3  -95.00  -85.00       -0.1461
  44   3  -93.00  -85.00       -0.1461
  45   3  -91.00  -85.00       -0.1461
  46   3  -89.00  -85.00       -0.1461
  47   3  -87.00  -85.00       -0.1461
  48   3  -85.00  -85.00       -0.1461
  49   3  -83.00  -85.00       -0.1461
  50   3  -81.00  -85.00       -0.1461
  51   3  -79.00  -85.00       -0.1461
  52   3  -77.00  -85.00       -0.1461
  53   3  -75.00  -85.00       -0.1461
  54   3  -73.00  -85.00       -0.1461
  55   3  -71.00  -85.00       -0.1461
  56   3  -69.00  -85.00       -0.1461
  57   3  -67.00  -85.00       -0.1461
  58   3  -65.00  -85.00       -0.1461
  59   3  -63.00  -85.00       -0.1461
