_______June_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 153   1  125.00  -89.00       -2.3353
 154   1  127.00  -89.00       -2.3353
 155   1  129.00  -89.00       -2.3353
 156   1  131.00  -89.00       -2.3353
 157   1  133.00  -89.00       -2.3353
 158   1  135.00  -89.00       -2.3353
 159   1  137.00  -89.00       -2.3353
 160   1  139.00  -89.00       -2.3353
 161   1  141.00  -89.00       -2.3353
 162   1  143.00  -89.00       -2.3353
 163   1  145.00  -89.00       -2.3353
 164   1  147.00  -89.00       -2.3353
 165   1  149.00  -89.00       -2.3353
 166   1  151.00  -89.00       -2.3353
 167   1  153.00  -89.00       -2.3353
 168   1  155.00  -89.00       -2.3353
 169   1  157.00  -89.00       -2.3353
 170   1  159.00  -89.00       -2.3353
 171   1  161.00  -89.00       -2.3353
 172   1  163.00  -89.00       -2.3353
 173   1  165.00  -89.00       -2.3353
 174   1  167.00  -89.00       -2.3353
 175   1  169.00  -89.00       -2.3353
 176   1  171.00  -89.00       -2.3353
 177   1  173.00  -89.00       -2.3353
 178   1  175.00  -89.00       -2.3353
 179   1  177.00  -89.00       -2.3353
 180   1  179.00  -89.00       -2.3353
   1   2 -179.00  -87.00       -2.3353
   2   2 -177.00  -87.00       -2.3353
   3   2 -175.00  -87.00       -2.3353
   4   2 -173.00  -87.00       -2.3353
   5   2 -171.00  -87.00       -2.3353
   6   2 -169.00  -87.00       -2.3353
   7   2 -167.00  -87.00       -2.3353
   8   2 -165.00  -87.00       -2.3353
   9   2 -163.00  -87.00       -2.3353
  10   2 -161.00  -87.00       -2.3353
  11   2 -159.00  -87.00       -2.3353
  12   2 -157.00  -87.00       -2.3353
  13   2 -155.00  -87.00       -2.3353
  14   2 -153.00  -87.00       -2.3353
  15   2 -151.00  -87.00       -2.3353
  16   2 -149.00  -87.00       -2.3353
  17   2 -147.00  -87.00       -2.3353
  18   2 -145.00  -87.00       -2.3353
  19   2 -143.00  -87.00       -2.3353
  20   2 -141.00  -87.00       -2.3353
  21   2 -139.00  -87.00       -2.3353
  22   2 -137.00  -87.00       -2.3353
  23   2 -135.00  -87.00       -2.3353
  24   2 -133.00  -87.00       -2.3353
  25   2 -131.00  -87.00       -2.3353
  26   2 -129.00  -87.00       -2.3353
  27   2 -127.00  -87.00       -2.3353
  28   2 -125.00  -87.00       -2.3353
  29   2 -123.00  -87.00       -2.3353
  30   2 -121.00  -87.00       -2.3353
  31   2 -119.00  -87.00       -2.3353
  32   2 -117.00  -87.00       -2.3353
  33   2 -115.00  -87.00       -2.3353
  34   2 -113.00  -87.00       -2.3353
  35   2 -111.00  -87.00       -2.3353
  36   2 -109.00  -87.00       -2.3353
  37   2 -107.00  -87.00       -2.3353
  38   2 -105.00  -87.00       -2.3353
  39   2 -103.00  -87.00       -2.3353
  40   2 -101.00  -87.00       -2.3353
  41   2  -99.00  -87.00       -2.3353
  42   2  -97.00  -87.00       -2.3353
  43   2  -95.00  -87.00       -2.3353
  44   2  -93.00  -87.00       -2.3353
  45   2  -91.00  -87.00       -2.3353
  46   2  -89.00  -87.00       -2.3353
  47   2  -87.00  -87.00       -2.3353
  48   2  -85.00  -87.00       -2.3353
  49   2  -83.00  -87.00       -2.3353
  50   2  -81.00  -87.00       -2.3353
  51   2  -79.00  -87.00       -2.3353
  52   2  -77.00  -87.00       -2.3353
  53   2  -75.00  -87.00       -2.3353
  54   2  -73.00  -87.00       -2.3353
  55   2  -71.00  -87.00       -2.3353
  56   2  -69.00  -87.00       -2.3353
  57   2  -67.00  -87.00       -2.3353
  58   2  -65.00  -87.00       -2.3353
  59   2  -63.00  -87.00       -2.3353
  60   2  -61.00  -87.00       -2.3353
  61   2  -59.00  -87.00       -2.3353
  62   2  -57.00  -87.00       -2.3353
  63   2  -55.00  -87.00       -2.3353
  64   2  -53.00  -87.00       -2.3353
  65   2  -51.00  -87.00       -2.3353
  66   2  -49.00  -87.00       -2.3353
  67   2  -47.00  -87.00       -2.3353
  68   2  -45.00  -87.00       -2.3353
  69   2  -43.00  -87.00       -2.3353
  70   2  -41.00  -87.00       -2.3353
  71   2  -39.00  -87.00       -2.3353
  72   2  -37.00  -87.00       -2.3353
  73   2  -35.00  -87.00       -2.3353
  74   2  -33.00  -87.00       -2.3353
  75   2  -31.00  -87.00       -2.3353
  76   2  -29.00  -87.00       -2.3353
  77   2  -27.00  -87.00       -2.3353
  78   2  -25.00  -87.00       -2.3353
  79   2  -23.00  -87.00       -2.3353
  80   2  -21.00  -87.00       -2.3353
  81   2  -19.00  -87.00       -2.3353
  82   2  -17.00  -87.00       -2.3353
  83   2  -15.00  -87.00       -2.3353
  84   2  -13.00  -87.00       -2.3353
  85   2  -11.00  -87.00       -2.3353
  86   2   -9.00  -87.00       -2.3353
  87   2   -7.00  -87.00       -2.3353
  88   2   -5.00  -87.00       -2.3353
  89   2   -3.00  -87.00       -2.3353
  90   2   -1.00  -87.00       -2.3353
  91   2    1.00  -87.00       -2.3353
  92   2    3.00  -87.00       -2.3353
  93   2    5.00  -87.00       -2.3353
  94   2    7.00  -87.00       -2.3353
  95   2    9.00  -87.00       -2.3353
  96   2   11.00  -87.00       -2.3353
  97   2   13.00  -87.00       -2.3353
  98   2   15.00  -87.00       -2.3353
  99   2   17.00  -87.00       -2.3353
 100   2   19.00  -87.00       -2.3353
 101   2   21.00  -87.00       -2.3353
 102   2   23.00  -87.00       -2.3353
 103   2   25.00  -87.00       -2.3353
 104   2   27.00  -87.00       -2.3353
 105   2   29.00  -87.00       -2.3353
 106   2   31.00  -87.00       -2.3353
 107   2   33.00  -87.00       -2.3353
 108   2   35.00  -87.00       -2.3353
 109   2   37.00  -87.00       -2.3353
 110   2   39.00  -87.00       -2.3353
 111   2   41.00  -87.00       -2.3353
 112   2   43.00  -87.00       -2.3353
 113   2   45.00  -87.00       -2.3353
 114   2   47.00  -87.00       -2.3353
 115   2   49.00  -87.00       -2.3353
 116   2   51.00  -87.00       -2.3353
 117   2   53.00  -87.00       -2.3353
 118   2   55.00  -87.00       -2.3353
 119   2   57.00  -87.00       -2.3353
 120   2   59.00  -87.00       -2.3353
 121   2   61.00  -87.00       -2.3353
 122   2   63.00  -87.00       -2.3353
 123   2   65.00  -87.00       -2.3353
