Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1961,Earths,0.008470096698135907,0.32165116245162567,0.1463849312228401,0.030571358754455377,0.1378554837104271,0.08541907162993649,0.7303530957714057,3A,null
World,º World,1962,Earths,0.008872325394329071,0.3340407874052664,0.15085188258515572,0.031810746074629644,0.13834580870448449,0.08573987600947787,0.7496605301912063,3A,null
World,º World,1963,Earths,0.009107410330866303,0.3576523596702282,0.15274847446996268,0.032796743460239045,0.1396990407756318,0.08737301301587655,0.7793767722735985,3A,null
World,º World,1964,Earths,0.009480354803575943,0.3796086638240513,0.15619851734593057,0.032011355842074346,0.14415677868644067,0.08630492948425697,0.8077604347003875,3A,null
World,º World,1965,Earths,0.009769722690175784,0.3992968709434793,0.15844549921542728,0.03435323002957676,0.14552259449527297,0.0882006928682709,0.8355879948028566,3A,null
World,º World,1966,Earths,0.010428804944214819,0.4173163638859122,0.1653772975082335,0.03639747870714677,0.14645694064148457,0.08700087528062335,0.8629774194406685,3A,null
World,º World,1967,Earths,0.010792539433062156,0.4282181274482416,0.1681256486003863,0.03874736246960852,0.14824139515879017,0.08839040850474153,0.8825146256438556,3A,null
World,º World,1968,Earths,0.011267816789342876,0.45093620516154004,0.17342611278438738,0.04090081623466147,0.14899204241840402,0.08794218449859152,0.9134650035730117,3A,null
World,º World,1969,Earths,0.01155471052801604,0.48553138848141736,0.17616492621546234,0.04063405242538428,0.15087986268279008,0.08748409748952234,0.9522501110558084,3A,null
World,º World,1970,Earths,0.012097831042204209,0.5308071304478141,0.18018830545317827,0.041091091503829974,0.1536643544758943,0.08686939441079841,1.0047186653978175,3A,null
World,º World,1971,Earths,0.01268312459679288,0.5506548325163684,0.18462527370413268,0.040073953718439234,0.15472501986769321,0.08831510679637326,1.031077061513789,3A,null
World,º World,1972,Earths,0.012661830685388198,0.5811389841054677,0.18070095442873443,0.042124527367885745,0.1554351879019813,0.09128349893438116,1.063346182239318,3A,null
World,º World,1973,Earths,0.013487383397997424,0.6139191548543289,0.1897098915258284,0.042961236402890804,0.1590291240559331,0.08936748381038576,1.1084745983938784,3A,null
World,º World,1974,Earths,0.013464661745858472,0.6076421014338598,0.18556295396032307,0.04440473464262491,0.15986596638611303,0.09228867503026017,1.1032295351045238,3A,null
World,º World,1975,Earths,0.01386122549366371,0.5994610370522611,0.18739155145465428,0.04209900583109972,0.15579183086209122,0.09615987141195163,1.0947651953354491,3A,null
World,º World,1976,Earths,0.014550005967263803,0.6321568785967466,0.19493490656817591,0.042874896640404433,0.16065812180840847,0.09500020590107891,1.140175644455644,3A,null
World,º World,1977,Earths,0.014913772564842089,0.6526054107084903,0.19608683029661905,0.04143214509513911,0.16121921935393205,0.09550218716001689,1.1617591870021955,3A,null
World,º World,1978,Earths,0.015772952598337404,0.6583513039978532,0.2047735245091821,0.040922386105482114,0.16263679439146245,0.09418863045857823,1.176646346495482,3A,null
World,º World,1979,Earths,0.015958487398289707,0.6861248007154418,0.20385991520860045,0.04118448249505882,0.16659344864140282,0.0966143451733355,1.2103364965929941,3A,null
World,º World,1980,Earths,0.01601098234668981,0.6646355317091794,0.20172048510353868,0.041851505462386744,0.16548044817978386,0.09797923131517675,1.1876778174954945,3A,null
World,º World,1981,Earths,0.016850432948704173,0.6332552948783976,0.2085928211718117,0.042444560248813365,0.1622585803313406,0.09773464095534608,1.1611372678969305,3A,null
World,º World,1982,Earths,0.01770086343976862,0.6120684577705946,0.2170521712975799,0.04243861922766013,0.1597994589923253,0.09653792857457025,1.145598407819881,3A,null
World,º World,1983,Earths,0.017846020610132282,0.6087461941241677,0.2158663612919808,0.0425119510443027,0.16602545978767896,0.0973840428162458,1.1483798061311556,3A,null
World,º World,1984,Earths,0.018954734788942343,0.6225624454281558,0.2281662590463283,0.04275285399072889,0.16849263587004662,0.09562836229321252,1.176556388099713,3A,null
